date	predict	text	ticker
2022-10-28	0.0	0	UPST
2022-10-29	0.0	0	UPST
2022-10-30	0.0	0	UPST
2022-10-31	0.0	0	UPST
2022-11-01	0.0	0	UPST
2022-11-02	0.0	0	UPST
2022-11-03	0.0	0	UPST
2022-11-04	0.0	0	UPST
2022-11-05	0.0	0	UPST
2022-11-06	0.0	0	UPST
2022-11-07	0.0	0	UPST
2022-11-08	0.0	0	UPST
2022-11-09	0.6363636363636364	11	UPST
2022-11-10	0.0	0	UPST
2022-11-11	-1.0	4	UPST
2022-11-12	0.0	0	UPST
2022-11-13	0.0	0	UPST
2022-11-14	0.0	0	UPST
2022-11-15	0.0	0	UPST
2022-11-16	0.0	0	UPST
2022-10-28	0.0	0	PTON
2022-10-29	0.0	0	PTON
2022-10-30	0.0	0	PTON
2022-10-31	0.0	0	PTON
2022-11-01	0.0	0	PTON
2022-11-02	0.0	0	PTON
2022-11-03	0.0	0	PTON
2022-11-04	0.0	0	PTON
2022-11-05	0.0	0	PTON
2022-11-06	0.0	0	PTON
2022-11-07	0.0	0	PTON
2022-11-08	0.0	0	PTON
2022-11-09	0.0	0	PTON
2022-11-10	0.0	0	PTON
2022-11-11	0.0	0	PTON
2022-11-12	0.0	0	PTON
2022-11-13	0.0	0	PTON
2022-11-14	0.0	0	PTON
2022-11-15	1.0	2	PTON
2022-11-16	0.0	0	PTON
2022-10-28	0.0	0	AMC
2022-10-29	0.0	0	AMC
2022-10-30	0.0	0	AMC
2022-10-31	0.0	0	AMC
2022-11-01	0.0	0	AMC
2022-11-02	0.0	0	AMC
2022-11-03	0.0	0	AMC
2022-11-04	0.0	0	AMC
2022-11-05	0.0	0	AMC
2022-11-06	0.0	0	AMC
2022-11-07	-1.0	2	AMC
2022-11-08	1.0	8	AMC
2022-11-09	0.45454545454545453	11	AMC
2022-11-10	1.0	3	AMC
2022-11-11	0.6666666666666666	6	AMC
2022-11-12	0.7142857142857143	7	AMC
2022-11-13	1.0	17	AMC
2022-11-14	1.0	2	AMC
2022-11-15	-1.0	1	AMC
2022-11-16	0.5	4	AMC
2022-10-28	0.0	0	COIN
2022-10-29	0.0	0	COIN
2022-10-30	0.0	0	COIN
2022-10-31	0.0	0	COIN
2022-11-01	0.0	0	COIN
2022-11-02	0.0	0	COIN
2022-11-03	0.0	0	COIN
2022-11-04	0.0	0	COIN
2022-11-05	0.0	0	COIN
2022-11-06	0.0	0	COIN
2022-11-07	0.0	0	COIN
2022-11-08	-0.6	5	COIN
2022-11-09	0.0	0	COIN
2022-11-10	0.5	8	COIN
2022-11-11	1.0	1	COIN
2022-11-12	0.0	0	COIN
2022-11-13	0.8888888888888888	18	COIN
2022-11-14	0.2	10	COIN
2022-11-15	1.0	1	COIN
2022-11-16	0.0	0	COIN
2022-10-28	0.0	0	SNAP
2022-10-29	0.0	0	SNAP
2022-10-30	0.0	0	SNAP
2022-10-31	0.0	0	SNAP
2022-11-01	0.0	0	SNAP
2022-11-02	0.0	0	SNAP
2022-11-03	0.0	0	SNAP
2022-11-04	0.0	0	SNAP
2022-11-05	0.0	0	SNAP
2022-11-06	0.0	0	SNAP
