,date,predict,text
0,2022-10-28,0.10476190476190476,105
1,2022-10-29,0.014084507042253521,142
2,2022-10-30,0.22,50
3,2022-10-31,0.36220472440944884,127
4,2022-11-01,0.08588957055214724,163
5,2022-11-02,0.08849557522123894,226
6,2022-11-03,0.16831683168316833,202
7,2022-11-04,0.10964912280701754,228
8,2022-11-05,0.022727272727272728,132
9,2022-11-06,0.15789473684210525,76
10,2022-11-07,0.23214285714285715,224
11,2022-11-08,0.15915915915915915,333
12,2022-11-09,0.1830065359477124,306
13,2022-11-10,0.11670480549199085,437
14,2022-11-11,0.13648293963254593,381
15,2022-11-12,0.176056338028169,142
16,2022-11-13,0.17543859649122806,114
17,2022-11-14,0.4240506329113924,158
18,2022-11-15,0.17391304347826086,207
19,2022-11-16,0.2634730538922156,167
